FILE	FUNCTION	CLOCK_SOURCE	PURPOSE	SERVED?	MIGRATION_PRIORITY	A4 MIGRATED?	NOTES
adapters/cloud_provider_common.py	(module-level)	datetime.now(timezone.utc)	Cloud provider rate-limit window check	yes	HIGH	no	Part of ~95 _utcnow duplicates
adapters/local_subprocess_adapter.py	_run_with_timeout	time.monotonic()	Subprocess deadline enforcement	yes	LOW	no	Correct monotonic usage
adapters/openai_compatible_adapter.py	(stream handler)	time.perf_counter()	Latency measurement	yes	LOW	no	Correct perf_counter usage
apps/vool_agent.py	__init__	time.time()	Track last user activity	yes	LOW	no	In-memory only
apps/vool_agent.py	handle_turn	time.monotonic()	Turn deadline for planning	yes	LOW	no	Correct monotonic
apps/vool_agent.py	_mark_user_activity	time.time()	Update last user activity	yes	LOW	no	In-memory only
apps/vool_cli.py	(spend display)	time.time()	Spend windows for CLI	yes	LOW	no	Display only
apps/vool_daemon.py	register_capability_ad	datetime.now(timezone.utc)	Capability ad timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/active_context_capsule.py	_utcnow	datetime.now(timezone.utc)	Context capsule timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/agent_name_registry.py	_utcnow	datetime.now(timezone.utc)	Agent name registry timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/agent_runtime/active_finding.py	upsert_finding	time.time()	Finding TTL	yes	LOW	no	In-memory
core/agent_runtime/active_finding.py	prune_stale	time.time()	Stale pruning	yes	LOW	no	In-memory
core/agent_runtime/attempt_retry.py	wait_for_terminal	time.monotonic()	Retry deadline	yes	LOW	no	Correct monotonic
core/agent_runtime/attempt_retry.py	_replay_until_terminal	time.monotonic()	Replay deadline	yes	LOW	no	Correct monotonic
core/agent_runtime/attempt_retry.py	(attempt retry)	datetime.now(timezone.utc)	Retry state timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/agent_runtime/audit_policy.py	(module-level)	time.monotonic()	Audit policy timestamp	yes	LOW	no	Correct monotonic
core/agent_runtime/audit_session.py	upsert_capsule	time.time()	Session capsule TTL	yes	LOW	no	In-memory
core/agent_runtime/audit_session.py	prune_stale	time.time()	Stale capsule pruning	yes	LOW	no	In-memory
core/agent_runtime/builder/controller.py	elapsed_seconds	time.monotonic()	Builder timed loop	yes	LOW	no	Correct monotonic
core/agent_runtime/builder/controller.py	(controller)	time.monotonic()	Budget tracking	yes	LOW	no	Correct monotonic
core/agent_runtime/builder/pinned_generation.py	(run loop)	time.monotonic()	Generation budget	yes	LOW	no	Correct monotonic
core/agent_runtime/fast_paths_utility.py	_time_of_day	datetime.now() (naive)	Greeting time-of-day	yes	HIGH	no	Naive local time — needs migration
core/agent_runtime/fast_paths_utility.py	_render_shifted_clock	datetime.now(timezone.utc)	DST-safe time arithmetic	yes	HIGH	no	Clock tool path — candidate for CLOCK.now_utc()
core/agent_runtime/fast_paths_utility.py	_render_cross_zone_clock	datetime.now(timezone.utc)	Cross-zone clock conversion	yes	HIGH	no	Clock tool path — candidate for CLOCK.now_utc()
core/agent_runtime/fast_paths_utility.py	utility_now_for_timezone	datetime.now(ZoneInfo)	Named timezone clock	yes	HIGH	no	Already good — candidate for CLOCK.now_for_timezone()
core/agent_runtime/fast_paths_utility.py	utility_now_for_timezone	datetime.now().astimezone()	Local time fallback	yes	HIGH	no	Should use persisted timezone
core/agent_runtime/investigation_session.py	upsert_capsule	time.time()	Session capsule TTL	yes	LOW	no	In-memory
core/agent_runtime/investigation_session.py	prune_stale	time.time()	Stale pruning	yes	LOW	no	In-memory
core/agent_runtime/live_data_runner.py	_now	time.monotonic() + datetime.now(timezone.utc)	Paired clock for live data	yes	MEDIUM	no	Paired clock pattern
core/agent_runtime/orchestrator.py	(mark completed)	datetime.now(timezone.utc)	Orchestrator timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/agent_runtime/stepped_audit.py	(module-level)	time.monotonic()	Turn timing telemetry	yes	LOW	no	Correct monotonic
core/agent_runtime/turn_planner_hook.py	(planning hook)	time.monotonic()	Turn deadline	yes	LOW	no	Correct monotonic
core/api_write_auth.py	(resolve timestamp)	datetime.now(timezone.utc)	API write auth timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/api_write_auth.py	(permission check)	datetime.now(timezone.utc)	Permission expiry	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/appeal_queue.py	_utcnow	datetime.now(timezone.utc)	Appeal queue timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/bootstrap_sync.py	_utcnow	datetime.now(timezone.utc)	Bootstrap sync timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/bootstrap_sync.py	_is_expired	datetime.now(timezone.utc)	Expiry comparison	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/brain_hive_artifacts.py	_utcnow	datetime.now(timezone.utc)	Brain hive artifact timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/brain_hive_guard.py	(rate limit)	datetime.now(timezone.utc)	Rate-limit window	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/build_provenance.py	(module-level)	datetime.now(timezone.utc)	Build provenance timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/cache_freshness_policy.py	(module-level)	datetime.now(timezone.utc)	Cache freshness checks	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/candidate_knowledge_lane.py	_utcnow	datetime.now(timezone.utc)	Knowledge lane timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/capacity_predictor.py	(module-level)	datetime.now(timezone.utc)	Capacity predictor cutoff	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/challenge_engine.py	_utcnow	datetime.now(timezone.utc)	Challenge engine timestamp	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/circuit_breaker.py	(methods)	time.time()	Circuit breaker cooldown	yes	LOW	no	Correct use
core/cloud_connection_state.py	(module-level)	time.time()	Connection state TTL	yes	LOW	no	Correct use
core/cloud_escalation_policy.py	(module-level)	time.time()	Escalation policy TTL	yes	LOW	no	Correct use
core/cloud_routing.py	(resolve moment)	datetime.now(timezone.utc)	Routing moment	yes	HIGH	no	Part of ~95 _utcnow duplicates
core/cloud_route_receipt.py	(issue receipt)	time.time()	Route receipt timestamp	yes	LOW	no	Epoch float variant
core/compute/rental_market.py	(start rental)	time.time()	Rental market timestamps	yes	HIGH	no	Should be aware UTC
core/conductor/node.py	now_pair	time.monotonic() + datetime.now(timezone.utc)	Paired clock for conductor	yes	MEDIUM	no	Paired clock pattern
